"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"477","Jewelers",2.88,2.88,3,2.62,3.12,1.12,2.12,1.25,2.25,3.25,2.5,2.88,2.62,2.5,2.88,2.88,2.62,2.38,2.62,3.25,2.62,1.12,2.88,2.88,1.5,1.5,2.75,2.75,3,2.25,2.25,1.88,3.12,2,2.62,"Importance"
"478","Judges, Magistrate Judges, and Magistrates",4,4.75,4.12,3,4.75,1,1,1,3.12,4.38,3,1,1,2.88,2.12,3.75,3.38,1,1.38,2.62,3.12,1.38,1.25,4.12,1,2,2.75,3.5,4.12,3.12,2.75,1.5,3.12,1,4,"Importance"
"479","Judicial Law Clerks",3.62,4.25,3.25,2.75,4.12,1,1,1,2.5,3.5,2.75,1,1.25,1.38,1.88,3,2.5,1,1.75,1.25,2.88,1.25,1.62,4.38,1,1,2.5,3.12,3.75,2.38,2.38,1.5,3.38,1.12,4,"Importance"
"480","Kindergarten Teachers, Except Special Education",3.25,3.88,3.38,3.62,3.38,1,1.12,1,4,3.5,3.62,1.25,1.5,2.75,2.38,3.62,3,1.25,1.75,1.38,3.12,1.12,2,3.5,1,1.25,3.5,3.88,3.88,2.5,2.75,1.75,3.5,1.62,3.25,"Importance"
"481","Labor Relations Specialists",3.5,4.5,3.75,3.38,3.88,1,1,1,3,3.75,3.25,2.12,2.12,3,2.62,3.5,4.25,1.62,1.75,1.5,4.12,1.38,1.38,4.25,1,1,3.5,3.88,4.38,3.25,3.12,1.62,3.5,1,4.12,"Importance"
"482","Laborers and Freight, Stock, and Material Movers, Hand",2.12,2.75,2.38,2.88,2.88,2.25,2,1.38,2.12,2.5,2,1.38,1.88,2,2,2.62,2,2.88,2.75,1.38,2,1,2,2.75,2.12,1,2.25,2.38,2.75,1.88,1.88,1.25,2.5,2.25,2.38,"Importance"
"483","Landscape Architects",3.5,4.12,3.62,3.88,3.62,1,1.12,1,3.12,3.62,2.88,2.5,2.5,3.25,3,3.12,3.12,2,2.38,3.62,3.38,1.38,2.38,4,1,2.75,3.12,3.5,3.88,3.25,3.12,1.88,3.62,2,3.62,"Importance"
"484","Landscaping and Groundskeeping Workers",2.25,2.75,2.25,2.75,2.88,2.12,2.12,1.12,2,2.5,2.12,1.12,1.5,2.12,1.75,2.5,1.88,3.12,2.75,1.25,2,1,2,2.25,2.25,1.62,2.5,2.5,2.88,1.88,1.88,1.62,2.62,2.12,1.75,"Importance"
"485","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.12,3,2.75,2.75,2.88,2.5,2.75,1.62,2.38,2.75,1.88,1.38,1.38,1.75,2.12,3.12,1.75,3,3.38,1.88,1.75,1.38,3.25,2.75,2.25,1.75,1.88,2.75,2.75,2.12,2,1.75,2.75,2.62,2.12,"Importance"
"486","Laundry and Dry-Cleaning Workers",2.62,3,2.38,2.5,2.75,1.75,1.75,1,2.38,2.75,2.25,1.62,1.62,2.25,1.62,3,2.25,2.75,2.88,1.62,2.25,1,2.25,2.75,1.75,1,2.38,2.88,2.88,2,2,1,2.88,2.12,2.12,"Importance"
"487","Law Teachers, Postsecondary",4,4.12,3.5,3.12,4,1.12,1,1,4.12,3.5,4.12,1.25,1.38,2.75,2,3.38,3,1.12,1.5,2.12,3.12,1.5,1.75,4.38,1.12,1.75,2.88,3,4.5,3,3,1.38,3,1.12,4,"Importance"
"488","Lawyers",3.75,4.5,4.12,3.62,4.38,1,1,1,3,4.12,3.12,2,1.88,3.25,2.12,3.5,3.88,1.62,1.75,2.75,3.88,1.38,1,4.38,1,1.75,3.12,3.62,4.5,3.38,3.12,1.62,3.62,1,4.12,"Importance"
"489","Layout Workers, Metal and Plastic",2.62,3.12,3,2.62,3.12,2.12,2.62,1.25,2.62,2.75,2.25,1.25,1.38,2.38,2.75,3,2,2.5,3,2.38,2.25,1.25,2.75,2.75,2.12,1.25,2.12,2.62,2.88,2.25,2,1.38,2.62,2.25,2.5,"Importance"
"490","Legal Secretaries",2.62,3.62,2.62,3.12,3.25,1,1,1,1.75,2.88,2.38,1.25,1.12,1.88,2.38,2.88,2.12,1.38,1.75,1.12,2.5,1.5,2,3.75,1,1,2.88,3,3.5,2.12,1.88,1.25,3.12,1.12,3.88,"Importance"
"491","Librarians",3.25,3.88,3.12,3.38,3.5,1.12,1,1,3.38,3.25,3,2.12,2.38,2.88,2.25,3.62,2.75,1,1.75,2.62,3,1.38,1.12,4,1.12,1.75,3.38,3.38,3.75,2.62,2.75,1.5,3.38,1,3.75,"Importance"
"492","Library Assistants, Clerical",2.38,3.38,2.5,3.25,3,1.62,1.25,1,2.75,2.88,2.5,1.75,2.38,2.38,2.38,2.88,2.12,1.25,1.5,1.12,2.38,1.38,1.75,3.38,1,1.12,3.5,3.12,3.25,2.12,1.75,1.38,2.88,1.5,2.88,"Importance"
"493","Library Science Teachers, Postsecondary",3.88,4,3.62,3.25,4,1,1,1,4.12,3.38,3.75,2,2.12,3,2.12,3.75,2.62,1,1.62,2.38,2.88,1.75,1.62,4.12,1,2.25,3,3.38,4.12,3.12,3.25,1.62,3.12,1,4,"Importance"
"494","Library Technicians",2.75,3.12,2.38,2.88,3,1.75,1.12,1.12,2.62,2.88,2.62,1.5,1.75,2.62,2.12,2.62,2.25,1.62,1.88,1.75,2.38,1.62,1.38,3.25,1.12,1.25,3.12,3,3.25,2.25,2.12,1.12,2.88,1.75,2.75,"Importance"
"495","License Clerks",3,3.25,2.88,3,3,1,1,1,2.75,3,2.5,1.62,1.75,2.12,2.38,3,2.38,2,2,2.25,2.25,1.25,1.88,3,1.12,2.25,2.88,3,3.12,1.88,2,1.25,3,1.75,3,"Importance"
"496","Licensed Practical and Licensed Vocational Nurses",3.38,4,3.25,4,3.88,1,1.12,1,3.25,3.75,3.12,1.88,2,3,2.75,4,3,2.5,2.88,2.12,3,1.25,2.12,4,1,2.88,4.12,4,4,2.88,2.62,1.88,4,1.88,3.25,"Importance"
"497","Licensing Examiners and Inspectors",3.25,4,3.12,3,3.62,1,1,1,2.88,3.62,2.62,2,2,2.62,2.38,3.12,3,2,2.75,1.88,3,1.75,2.75,3.88,1,1,3.12,3.62,3.88,2.75,2.75,1.38,3.12,1.75,3.5,"Importance"
"498","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.75,3.25,2.75,3,3.12,1,1.25,1,2.75,3.25,2.88,1,1.12,2.25,1.25,3.62,2.12,1.12,2.12,1.38,2.62,1,2.25,2.62,1,1.75,3.25,3.12,3.62,1.75,2,1.12,2.5,1.88,2.5,"Importance"
"499","Light Truck or Delivery Services Drivers",2.12,3.12,2.62,2.5,2.88,2.38,1.75,1,1.88,2.88,1.88,1.75,1.88,1.88,2.5,3,1.88,3.25,2.88,1.75,2.12,1,2.38,3,2.25,1.12,2.88,2.88,3.12,2,2,1.38,3,2.25,2.88,"Importance"
"500","Loading Machine Operators, Underground Mining",2,3.12,2.62,2.88,2.88,2.75,2.5,1.12,2.38,2.25,1.88,1.5,1.5,2,1.5,2.75,2.12,3.25,3.25,1.75,2.12,1,2.38,2.88,2.88,1.12,2.12,2.62,2.62,1.12,1.12,1,2.12,2.75,2,"Importance"
"501","Loan Counselors",3.62,4.25,3.5,3.75,4.12,1,1.12,1,3.62,3.75,3.62,2.25,2,3.12,3.25,3.38,3.12,2,2.5,2.5,3.12,1.88,1.75,4,1,1.75,3.62,3.88,4,3,2.75,1.38,3.62,1.12,3.75,"Importance"
"502","Loan Interviewers and Clerks",3.5,4.25,3.5,3.12,3.62,1,1.12,1,2.62,3.5,2.75,1.5,1,2.25,3.12,3,2.88,1.25,2,2.12,3.12,2,1.5,3.75,1,1.25,3.25,3.62,4.25,2.62,2.5,1.5,3.5,1,3.62,"Importance"
"503","Loan Officers",3.12,4,3.12,3,3.75,1,1,1,3,3.88,2.75,1.75,1.62,2.88,3.12,3,2.88,1.25,1.5,1.75,2.88,1.5,1.5,3.88,1,1.12,3.38,3.25,4,2.5,2.12,1.5,3,1,3.25,"Importance"
"504","Locker Room, Coatroom, and Dressing Room Attendants",2.12,3.5,2,2.75,2.5,1,1.12,1,2,2.25,1.38,1,1.25,2,1.38,2.75,2.5,1.5,1.62,1.25,2.25,1,1.25,2.62,1,1,3.5,3.12,3.62,1,1.38,1,2.38,1,2.25,"Importance"
"505","Locksmiths and Safe Repairers",2.88,3.38,3,2.75,3.25,3.25,2.75,2.62,2.38,3.12,2.38,1.75,1.88,2.25,2.5,2.75,2.38,3,2.75,1.25,2.5,1.5,3,3,3.5,1.12,2.88,2.5,3.38,2.12,2,1.62,3.25,3.12,2.62,"Importance"
"506","Locomotive Engineers",3.12,3.75,3.12,3,3.62,2.12,1.5,1,2.38,3.38,2.88,1.62,1.75,2.5,2.5,3.62,2,4.12,4,1.75,2,1,2.88,3.38,1.88,1.38,2.38,2.75,3.62,2.25,2.12,1.25,3.12,2.75,3,"Importance"
"507","Locomotive Firers",2.5,3.25,3,2.88,3.25,2.5,2,1,2.25,3.12,2.5,1.38,1.62,2,2.12,3.62,2.12,3.62,4,1.25,2.12,1,2.75,2.75,2.25,1.25,2.5,2.88,3,1.88,2,1,3.12,2.75,2.62,"Importance"
"508","Lodging Managers",3.5,4.25,3.75,4.25,4.12,2.12,2.12,1,3.62,3.88,3.38,3.38,3.38,4.12,3.25,4,3.62,2.38,2.38,1.62,3.62,1.5,2.88,3.88,2,1,4,3.88,4.12,3.38,3.5,1.5,4,2,3.62,"Importance"
"509","Log Graders and Scalers",2.75,3.5,3,3.25,3.38,1,1.25,1,2.62,3.38,2.38,1.5,2,2.62,2.88,3,2.5,2.5,2.62,1.75,2.62,1.25,2.38,3,1,1.75,2.75,3,3.5,2.38,2.12,1.25,2.75,1.62,2.88,"Importance"
"510","Logging Equipment Operators",2.38,2.75,3,2.5,3,3.12,2.75,1.12,2.38,3,2.38,1.62,1.88,2.25,2.5,3,2.12,4,3.75,1.5,2.25,1,3.25,2.38,3,1.62,2.25,2.5,2.75,2.38,2.25,1.12,2.75,2.75,2.5,"Importance"
"511","Logisticians",3.25,3.88,3.75,3.5,4,1,1,1,3,3.38,2.88,2.38,2.5,3.25,3,3.75,2.88,1.38,2.5,3.12,3.12,2.12,2.25,3.75,1,1.62,3.38,3.25,3.62,3.38,3.12,1.62,3.62,1.12,3.12,"Importance"
"512","Logistics Analysts",3.12,3.5,3.75,2.88,3.75,1,1.25,1,2.62,3.5,2.62,2.5,2.62,2.75,3.25,3.5,2.62,1.25,2.38,2.38,2.75,2,2.5,3.88,1,1.75,2.62,2.88,3.5,3.62,3.62,2.12,3,1.88,3.25,"Importance"
"513","Logistics Engineers",3.75,3.88,3.88,3.5,4,2.12,2.5,1,3,3.88,3.25,2.5,2.5,3.38,3.75,3.12,2.88,1.75,2.62,3.38,3.12,2.62,2.88,4.25,2.25,2.38,3,3.25,3.62,4.12,4,2.75,3.75,2.62,3.75,"Importance"
"514","Logistics Managers",3.5,3.88,3.88,3.62,3.88,1,1.25,1,2.88,3.88,3.25,3.12,3.25,3.62,3,3.75,3.62,1.88,2.75,2.75,3.5,1.75,1.88,3.88,1,1.25,3.12,3.38,3.75,3.12,3.5,1.62,4,1.5,3.75,"Importance"
"515","Loss Prevention Managers",3.5,4,3.62,3.88,4,1.12,1.12,1.12,3.75,3.88,3.38,2.12,2.38,3.5,2.5,4,3.5,2.12,2.62,1.88,3.75,1.75,2.5,4,1,1,3.5,3.62,4,3.62,3.62,1.88,3.88,2,3.88,"Importance"
"516","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.62,4,3.12,3.12,3.25,1,1.12,1,3.5,3.38,3.62,1.38,1.88,2.88,2.38,3.75,3,2,2.5,1.12,3.12,1.38,1.5,3.62,1,2.12,3.75,3.75,3.88,3,2.88,2,3.12,1,3.75,"Importance"
"517","Machine Feeders and Offbearers",2.25,2.88,2.38,2.62,2.88,1.5,1.25,1,2.38,2.88,2,1.5,1.88,2.25,1.75,3.12,2.12,2.75,3.5,1.25,2,1.25,2.75,2.75,1.38,1.38,2.12,2.88,2.88,1.75,1.88,1.5,2.88,2.62,2.12,"Importance"
"518","Machinists",2.75,3,2.88,3,3.12,2.62,2.88,2.5,2.62,2.88,2.38,1.38,1.62,2,2.62,3,2.5,3.12,3.25,2.12,2.5,1.62,2.88,3,2.62,1.5,2.12,2.75,2.88,2.5,2.62,2.25,2.88,2.75,2.75,"Importance"
"519","Magnetic Resonance Imaging Technologists",3.12,4,3.25,3.12,3.38,2.38,2.62,1.12,2.62,3.38,2.75,1,1.5,2.25,2.75,3.5,2.62,3.25,3.62,1.25,2.75,1.88,3,3.62,2.38,2.62,3.38,3.38,3.5,2.88,2.75,1.75,3.12,2.88,3.38,"Importance"
"520","Maids and Housekeeping Cleaners",2,2.88,2.25,3,2.62,1,1.5,1,2.25,2.38,2.12,1.62,1.75,2.25,1.75,2.88,2,1.88,1.88,1.12,2.25,1,2.25,2.5,1,1,3.25,2.75,2.88,2,1.88,1.38,2.75,1.75,2.12,"Importance"
"521","Mail Clerks and Mail Machine Operators, Except Postal Service",2.25,2.88,2.38,2.62,3,1.38,1.12,1.12,2.25,2.75,2.25,1.5,1.62,2.12,2,3,1.88,2.75,2.75,1.12,2.12,1.5,2.5,3,1.38,1,2.25,2.88,2.88,2,2,1,2.75,1.88,2.75,"Importance"
"522","Maintenance and Repair Workers, General",3,2.88,3,3,3.12,4,3.12,3,2,3,2.25,1.88,2,2,2.12,3.12,1.88,3.12,3.12,2,2,1.12,3,3,4,1.75,2.25,2.75,3,2.38,2.25,2,3,3.62,2.75,"Importance"
"523","Maintenance Workers, Machinery",2.75,3,2.88,3,3,3.75,2.75,2.5,2.12,3,2.12,1.62,1.88,2.25,2.12,2.88,2.12,3.5,3.75,1.88,2.25,1.62,3,3,3.75,1.62,2.12,2.62,2.88,2.12,2.12,1.88,2.88,3.62,2.12,"Importance"
"524","Makeup Artists, Theatrical and Performance",3,3.25,2.88,3.12,3.12,1,1.88,1,2.62,3.25,2.62,2.75,2.75,2.75,2.5,3,2.75,1.12,2.12,2.88,2.88,1,2.25,3,1,1.5,2.62,3,3.38,2.5,2.38,1.62,3.12,1.75,2.88,"Importance"
"525","Management Analysts",3.38,4.12,3.88,3.38,4,1,1.12,1,2.88,3.75,2.88,1.62,1.88,3,2.62,3.62,3,1,1.25,3.25,2.88,1.12,1.38,4.12,1,2.25,2.88,3.5,4.12,3.5,3.5,1.5,3.38,1.38,3.75,"Importance"
"526","Manicurists and Pedicurists",2.75,3,2.25,2.75,2.5,1,1.5,1,2.12,2.38,2.12,1.38,1.5,2,1.88,2.62,2.5,1.12,1.5,1.5,2.62,1,1.75,2.75,1,1,3,3,3,2,2,1.75,2.75,1.38,2.12,"Importance"
"527","Manufactured Building and Mobile Home Installers",3.38,3.38,3.38,3.5,3.75,2.62,2.88,2.62,3.25,3.5,3.38,2.25,2.62,3.38,2.62,3.5,3.12,3.75,3.62,2.25,3,1,3.75,3.12,3.12,1.62,3.12,3,3.38,2.75,2.62,2,3.38,3.25,2.62,"Importance"
"528","Manufacturing Engineering Technologists",3.5,3.62,3.75,3.25,4,2.88,3.38,2.5,3,3.62,3,2.75,2.75,2.88,4,3.38,3,3.12,3.5,2.88,3,2.62,3.62,3.5,2.62,2.75,2.75,2.88,3.62,3.5,3.38,3,3.25,3.12,3.25,"Importance"
"529","Manufacturing Engineers",3.5,3.88,3.75,3.38,3.5,2.62,3.12,2.5,3,3.75,3,3,3,3.25,3.62,3.5,2.75,2.88,3.5,3.12,2.88,2.25,3.38,3.75,2.75,2.88,2.75,3.12,3.75,3.75,3.62,3.62,3.62,3.5,3.5,"Importance"
"530","Manufacturing Production Technicians",2.88,3.5,3.25,3,3.62,3.5,2.75,2.12,2.75,3.12,2.62,1.62,2,2.5,2.38,3.5,2.62,3.25,4,2.5,2.5,1.38,3.25,3.62,3.25,2.5,2.62,2.88,3,2.62,2.5,2.12,3,3.12,3,"Importance"
"531","Mapping Technicians",3.38,3.12,3.12,3,3.38,1,1.12,1,3,3,3,2,2,2.75,3.62,3,2.25,2,2.62,2.62,2.5,2.5,2.88,3.75,1,2,2.62,2.75,3.25,2.62,2.5,2,3,1.88,3.12,"Importance"
"532","Marine Architects",3.62,3.88,3.75,3.25,3.88,1,1.12,1,2.88,3.88,2.75,1.88,2,2.88,3.88,3.38,2.88,1.25,2.62,3.75,2.88,2,3.12,4,1.12,3,2.75,3.12,3.88,3.38,3.12,2.62,3.12,2.38,3.5,"Importance"
"533","Marine Engineers",3.38,3.88,3.62,3.38,4.12,1.38,1.62,1.75,3,3.75,2.88,2.88,2.88,3.38,3.38,3.38,3,2.38,3.25,3.5,3,2.12,3.25,3.75,1.75,3.88,2.88,3.12,3.62,3.38,3.25,2.62,3.5,2.88,3.5,"Importance"
"534","Market Research Analysts and Marketing Specialists",3.12,3.75,3.62,3.12,3.5,1,1,1,2.75,3.5,2.75,2.25,2,2.88,3,3.25,2.5,1.25,2,3.12,3,2.25,1.62,3.88,1,2.38,2.75,3.12,3.5,3.12,3,1.75,3,1,3.5,"Importance"
"535","Marketing Managers",3.88,3.88,3.62,3.5,3.88,1,1,1,3,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1,1.75,3.38,3.75,1.88,1.88,3.88,1,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1,3.25,"Importance"
"536","Marking Clerks",2.38,2.88,2.5,2.88,2.88,1,1.12,1,2,2.62,2,1.25,1.5,2.12,1.75,2.75,2.38,1.88,2,1.5,2.38,1.25,1.12,2.5,1,1,2.5,2.75,2.88,1.5,1.38,1,2.5,1,2.62,"Importance"
"537","Marriage and Family Therapists",3.75,4.75,4,3.5,4,1,1,1,3.62,4.12,3,1.5,1.38,3,2.12,3.88,3.75,1,1.75,3.12,3.88,1.38,1.5,4,1,2.88,4.12,4.25,4.12,3.12,3.38,1.5,3.12,1,4,"Importance"
"538","Massage Therapists",2.88,3.75,3,2.62,3.12,1,1,1,2.38,3.12,2.75,1.38,1.38,1.75,1.75,2.88,1.88,1,1.38,2.12,2.12,1,1.75,3,1,1.88,3.25,3.38,3.62,2.25,2.38,1.62,2.88,1.38,3.12,"Importance"
"539","Materials Engineers",3.25,3.88,3.62,3,4,1,1.62,1,3,3.25,3,2.38,2.5,3,3.5,3.25,2.75,2.12,2.88,3.12,2.88,2.12,3,4,1,3.62,2.62,2.88,3.62,3.12,3,2.5,3,2,3.75,"Importance"
"540","Materials Scientists",3.5,3.5,3.88,2.88,4,1.5,1.75,1,3.12,3.75,3,2.12,2.12,2.62,3.38,3.38,2.75,2,2.38,3.25,3,1.62,2.5,4,1.62,4.12,2.75,3,3.88,3,2.88,2,3,2.12,3.62,"Importance"
"541","Mates- Ship, Boat, and Barge",2.88,3.75,3.12,3.38,3.75,2.88,2.12,1,3.25,3.25,2.62,2,2.12,3.25,2.25,3.75,2.75,3.88,4,2,2.75,1.62,2.88,3.12,2.75,1.88,2.88,3,3.62,2.25,2.25,1.62,3.25,2.88,2.88,"Importance"
"542","Mathematical Science Teachers, Postsecondary",3.75,4,3.75,3.12,4.12,1,1,1,4.12,3.38,3.88,1.5,1.75,2.25,4.38,3.75,2.75,1,1.12,2.5,2.75,1.38,1.38,4.12,1,2.38,2.75,3.12,4.12,2.88,3,1.25,3.25,1,4.12,"Importance"
"543","Mathematical Technicians",3.66,4.16,3.75,2.33,4.5,1,4,1.16,1.33,4.16,3.16,1.66,1.66,1,4.66,3.66,1.66,2,2,3.16,1.66,3.16,2.92,4.33,1,3.83,1,1,3.66,2.66,3.08,2.33,2.5,1.83,3.33,"Importance"
"544","Mathematicians",3.75,3.38,4,2.88,4,1,1,1,2.88,3.25,3.25,1.62,1.62,2.5,5,2.88,2.12,1,1.5,2.5,2.62,2.5,1.38,4,1,3.25,2.12,2.75,3.25,3.25,3.12,1.62,2.75,1,3.38,"Importance"
"545","Meat, Poultry, and Fish Cutters and Trimmers",2.25,3,2,3,3,1,1.5,1,2.5,2.62,2.12,1.75,1.88,2.5,2,3,2.25,2.25,2.38,1.38,2.25,1,2.38,2.25,1,1,2.62,2.88,3,1,1.12,1,2.88,2.12,2.25,"Importance"
"546","Mechanical Door Repairers",3,3.12,3,3,3.5,2.75,2.75,3.12,3,2.88,2.62,1.88,1.88,2.88,2.5,3,2.62,2.75,3,1.88,2.88,1,3.25,3.12,3,1,3,3,3.12,2.12,2.25,2,2.88,2.88,2.75,"Importance"
"547","Mechanical Drafters",3.25,3.12,3.12,2.88,3.12,1.12,1.38,1,2.62,3,2.75,1.88,2,2.38,3.12,3,2.25,1.38,2.25,3,2.38,2.38,2.88,3,1,2,2.25,2.75,3.12,2.62,2.62,2.38,2.88,1.88,3,"Importance"
"548","Mechanical Engineering Technicians",3.12,3.75,3.38,3.12,3.62,2.5,2.62,1.12,2.88,3.38,2.75,1.62,1.62,2.88,3,3.38,2.75,3.12,3.62,2.5,2.75,1.5,3.38,3.75,2.5,2.75,2.62,2.88,3.5,2.75,2.75,2,3.12,2.62,3.38,"Importance"
"549","Mechanical Engineering Technologists",3.25,3.88,3.38,2.88,3.62,3.12,3.12,1.75,2.62,3.25,2.5,2.38,2.25,2.38,3.12,3.25,2.75,3.38,3.75,2.62,2.75,2,3.5,3.5,3,2.62,2.62,2.75,3.38,3,3,2.62,3.25,3.25,3.38,"Importance"
"550","Mechanical Engineers",3.38,3.88,3.75,3,3.88,1.88,2.12,2.12,2.75,3.75,2.75,2.5,2.5,2.62,3.88,3.12,2.88,2.38,3,3.75,3,2.5,3.25,3.88,1.88,3.88,3,2.88,3.12,3.25,3.38,3.25,3.12,3,3.25,"Importance"
"551","Mechatronics Engineers",3.38,3.62,3.62,3.12,3.5,1,2,1.5,3,3.75,2.88,2.12,2.12,2.88,3.38,3.25,2.88,2.75,3.12,3,3,2.25,3.12,3.5,1,2.88,2.62,2.75,3.5,3.25,3.38,3,3.25,2.12,3.5,"Importance"
"552","Medical and Clinical Laboratory Technicians",3,3.88,3.12,3,3.38,2.75,2.62,1.25,3.12,3,2.88,2,2,2.88,2.75,3.12,2.62,2.88,3.12,2.12,2.5,1.88,3.12,3.5,2.5,3.25,3,3,3.38,2.75,2.25,2,3.12,2.75,3.12,"Importance"
"553","Medical and Clinical Laboratory Technologists",3.25,3.75,3.25,3,3.75,2.62,2.88,1.25,3.12,3.12,2.88,2,2,2.88,3,3.25,2.5,2.88,3.38,2.12,2.88,2,3.25,3.75,2.38,3.62,3,3,3.25,2.88,2.88,1.38,3.12,2.75,3.12,"Importance"
"554","Medical and Health Services Managers",3.75,4,3.75,3.88,4,1,1,1,3.75,4,3.38,3.38,3,3.88,2.75,3.75,3.62,1,2.12,3.62,3.62,1.38,2.38,4.12,1,3,3.62,3.88,4.12,3.75,3.75,1.5,3.88,1.75,3.88,"Importance"
"555","Medical Appliance Technicians",3,3.88,3.38,3,3.75,3,2.75,1.5,3,3.25,2.88,1.88,2.12,2.62,2.75,3.25,2.75,2.75,3.5,2.38,2.88,1.38,3.75,3.62,3,1.88,3.12,3.5,3.62,2.88,2.5,2.38,3,3.62,3,"Importance"
"556","Medical Assistants",3.25,3.88,2.75,3.5,3.62,1.12,1.25,1,3,3.12,3,1.75,2,2.62,2.62,3.75,2.75,1.88,2.75,1.62,2.88,1.5,2.38,3.88,1,2.75,3.38,3.88,4,2.62,2.5,1.38,3.25,1.75,3.5,"Importance"
"557","Medical Equipment Preparers",3,3.25,2.75,3,3.5,2.75,2,2.12,2.12,3,2.75,1.75,2.62,2,2.25,3.38,1.75,2.88,3.25,1.38,2,1.62,3.38,3.12,2.38,1.88,2.75,2.75,3.12,2.5,2.12,1.5,3,3.12,2.88,"Importance"
"558","Medical Equipment Repairers",3,2.88,3.12,2.88,3.25,4,3,2,2.75,3.25,2.88,1.75,2.12,2.62,2.75,3.12,2.25,3,3.38,2,2.5,1.62,3.38,3.25,4,2.25,2.88,2.75,2.88,3.12,2.88,2,2.75,4,2.88,"Importance"
"559","Medical Records and Health Information Technicians",2.5,3,2.75,2.38,3,1,1,1,2.12,2.88,2.62,1,1.12,2.38,2.12,2.88,2,1.25,1.75,1.75,2,1.38,1.75,3.38,1,1.25,2.5,2.75,3,2,1.88,1.75,2.88,1.12,3,"Importance"
"560","Medical Scientists, Except Epidemiologists",3.75,4,3.88,3.12,4.12,1,1.5,1,3,3.62,3,2.12,2.38,3.12,3.25,3.62,2.75,1.62,2.5,3,3,1.88,2.38,4,1,4.12,3,3.25,3.88,3.62,3.38,1.88,3.25,1.75,4,"Importance"
"561","Medical Secretaries",2.12,3.88,3,3.12,3,1,1,1,2.25,2.75,2,1.38,1.38,2.75,2,3,2.12,1,1.88,1.5,2.25,1.25,1.12,3.25,1,1.25,3.62,3.12,4,2,2,1,3.12,1,3.12,"Importance"
"562","Medical Transcriptionists",2.75,4,2.5,2.5,3,1,1,1,1.75,3,2,1,1,1.75,1.75,3,1.88,1.38,1.75,1.5,1.88,1.5,1.62,3.88,1,1.5,2.12,2.88,3,1.88,1.88,1,3.25,1,3.88,"Importance"
"563","Meeting, Convention, and Event Planners",3.12,4.12,3.25,3.75,3.88,1,1,1,2.5,3.5,2.38,2.62,2.62,3.25,2.25,3.5,3.38,1.88,2.12,3.12,3.38,1.38,1.12,3.88,1.12,1.25,3.75,3.75,4,3.12,2.88,1.75,3.88,1.12,3.25,"Importance"
"564","Mental Health and Substance Abuse Social Workers",3.38,4.38,3.5,3.88,3.88,1,1,1,3.12,3.38,3.5,1.5,1.5,3,2,3.88,3.25,1,2,2.88,3.5,1.75,1.75,4,1,2.88,3.88,4.25,4.25,3.12,3,1.5,3.25,1,3.75,"Importance"
"565","Mental Health Counselors",3.5,4.88,3.38,3.38,3.88,1,1,1,3.12,3.88,3.5,1.62,1.62,3,2.12,3.88,3.25,1,1.75,3,3.62,1.5,2,3.75,1,3.12,4.12,4.75,4.12,3.12,3.25,1.62,3,1,3.88,"Importance"
"566","Merchandise Displayers and Window Trimmers",2.88,3.5,2.88,3,3.25,1,1.38,1.12,2.25,3.12,2.38,1.62,2,2.25,2,2.75,2.38,1.75,1.75,2.38,2.88,1.5,2.12,3,1,1.25,2.88,3,3.25,2.38,2.25,1.75,3,1.62,2.88,"Importance"
"567","Metal-Refining Furnace Operators and Tenders",2.5,2.88,3,2.5,3,2.75,2.62,1.12,2.62,3,2.38,1.62,1.88,2.62,2.5,3.62,2,3.75,3.75,1.5,2.12,1,3.12,2.88,2.5,2,2,2.75,2.88,2.38,2.5,1.12,3,2.75,2.62,"Importance"
"568","Meter Readers, Utilities",2.62,3.12,2.88,2.75,2.75,2.5,2.25,1.12,2.5,3.25,2.5,2.12,2,2.38,2.5,2.88,2.38,2.88,3.25,1.62,2.5,1.88,2.88,2.88,2.5,1.12,3,2.88,3.12,2.25,2.12,1.5,3.12,2.5,2.88,"Importance"
"569","Microbiologists",3.75,3.88,3.38,3.25,4.12,1,1.62,1,3.25,3.5,3.5,2.12,2.38,3.25,3.25,3.5,2.62,2.62,2.75,3,2.88,2,2.75,3.88,1,4.5,2.75,3,3.62,3.25,3.12,1.88,3.25,2,4,"Importance"
