"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"481","Labor Relations Specialists",3.88,4.25,3.62,3.62,4,0,0,0,3.25,3.88,3.38,2.25,2,3.12,2.75,3.75,4.25,0.88,1.38,0.88,4.25,0.5,0.62,4.12,0,0,3.62,3.88,4.5,3.5,3.38,1.12,3.5,0,4.25,"Level"
"482","Laborers and Freight, Stock, and Material Movers, Hand",2,2.38,2.25,2.88,2.38,2.12,1.62,0.5,1.88,2.12,1.75,0.38,1,1.75,1.88,2.25,1.62,2.75,2.62,0.38,1.75,0,2.12,2.38,1.88,0,2,2.12,2.12,1.75,1.5,0.25,2.12,2.25,2,"Level"
"483","Landscape Architects",3.75,3.88,3.75,3.88,3.75,0,0.25,0,3.25,3.62,3,2.75,2.62,3.38,3,3.5,3.25,1.62,2.12,4,3.5,0.5,2.38,4,0,3.12,3.25,3.62,3.88,3.25,3.62,1.25,3.38,1.12,3.75,"Level"
"484","Landscaping and Groundskeeping Workers",2,2.25,2.12,2.38,1.88,1.88,1.75,0.25,1.75,2.25,1.88,0.12,0.5,1.75,0.75,1.88,1.38,2.62,2.25,0.25,1.62,0,2,1.88,2,0.88,2.12,2,1.88,1.62,1.62,0.62,2,2,1.25,"Level"
"485","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,2.75,2.75,2.75,3,2.5,2.25,1,2.12,2.5,1.62,0.38,0.38,1.62,2.25,3,1.25,3.12,2.88,1.62,1.5,0.38,2.88,3,2.12,1,1.5,2.25,2.62,1.62,1.38,1.12,2.25,2.5,2,"Level"
"486","Laundry and Dry-Cleaning Workers",2.12,2.25,2.25,2.25,2.5,1.25,1.12,0,2.12,2.12,2.12,1,1,2,0.88,2.25,2.12,2.12,2.5,0.88,2.12,0,2,2.12,1.25,0,2.38,2.25,2.38,1.62,1.5,0,2.38,2.25,2.12,"Level"
"487","Law Teachers, Postsecondary",4.75,4.88,3.75,3.25,4.88,0.12,0,0,4.38,4,4.25,0.25,0.38,2.62,2.12,4.12,3.38,0.12,0.5,1.88,3.62,0.5,0.88,5.12,0.12,1,3,3.12,5.12,3.25,3.38,0.38,3.38,0.12,4.88,"Level"
"488","Lawyers",4.25,4.5,4,3.5,4.88,0,0,0,3.25,4.38,3.25,1.5,1.25,3.12,2,3.62,4.25,1,1.25,2.88,4.75,0.5,0,4.5,0,1.12,3.62,3.88,4.88,3.38,3,0.75,3.75,0,4.62,"Level"
"489","Layout Workers, Metal and Plastic",2.62,3.12,2.88,2.75,3.12,2.12,2.12,0.5,2.62,2.88,2.38,0.25,0.5,2.62,2.75,2.88,2.12,2.75,2.75,2.12,2,0.25,2.88,2.88,2,0.38,2.25,2.5,2.38,2,1.75,0.62,2.5,2.38,2.62,"Level"
"490","Legal Secretaries",2.75,3.75,2.62,2.5,3.38,0,0,0,1.62,2.62,2.12,0.25,0.12,1.5,2.38,2.75,2,0.5,1,0.12,2.25,0.88,1.5,4.12,0,0,2.88,2.88,3.38,2.12,1.5,0.38,2.75,0.12,3.88,"Level"
"491","Librarians",3.38,3.75,3.25,3.38,3.75,0.25,0,0,3.62,3.25,3.12,1.88,2.38,2.88,2.38,3.62,3.25,0,1.38,2.62,3.12,0.62,0.25,4,0.25,1,3.62,3.5,3.75,3,3,0.5,3.25,0,3.75,"Level"
"492","Library Assistants, Clerical",2.38,3.25,2.12,3,3.12,0.88,0.25,0,2.75,2.38,2.38,1.25,1.75,2.25,2.38,2.75,1.62,0.38,0.88,0.38,1.88,0.75,1.38,3.5,0,0.12,3.38,2.75,3.12,1.88,1.5,1,2.5,0.62,2.88,"Level"
"493","Library Science Teachers, Postsecondary",4.12,4.5,3.75,3.5,4.12,0,0,0,4,3.62,4.25,1.38,1.5,3,2.38,4.25,2.62,0,0.62,2.25,2.88,0.88,1.12,4.88,0,2.12,2.88,3.62,4.75,3.38,3.25,0.75,3.62,0,4.88,"Level"
"494","Library Technicians",2.75,3,2.12,3,3.12,1.12,0.12,0.25,2.88,2.62,2.75,1,1.5,2.62,2.12,2.88,2,1.12,1.38,1.5,2.38,1,0.88,3.62,0.12,0.38,3.38,2.75,2.88,2.38,1.88,0.25,2.75,1.25,3,"Level"
"495","License Clerks",3,3.12,2.38,2.75,3.12,0,0,0,2.75,2.88,2.25,1.12,1.25,2.12,2.25,3,2.12,1.88,2,1.88,2.12,0.25,1.62,3.12,0.25,2,3.12,3,3,1.75,1.12,0.25,2.38,1.25,2.88,"Level"
"496","Licensed Practical and Licensed Vocational Nurses",3.12,3.88,3.12,3.88,4,0,0.25,0,3.12,3.25,3,1,1.12,2.88,2.62,3.75,3,2.25,2.75,2.12,3.12,0.25,2.12,3.5,0,2.88,4,4,4,2.75,2.75,1,3.38,1.38,3.25,"Level"
"497","Licensing Examiners and Inspectors",3,4,3,2.88,3.88,0,0,0,2.88,3.62,2.75,1.38,1.25,2.5,2.25,3.25,3,2,2.5,1.25,3.12,1.12,2.38,4,0,0,3.12,3.62,4,2.88,2.75,0.38,2.88,1.12,3.75,"Level"
"498","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.75,3.12,2.62,3.25,3.38,0,0.38,0,2.62,3,2.88,0,0.12,2.12,0.25,3.38,2,0.25,1.25,0.38,2.62,0,1.88,3,0,1.12,3.25,3.12,3,1,1.25,0.12,2.12,1,2.75,"Level"
"499","Light Truck or Delivery Services Drivers",2.12,2.88,2,1.88,2.88,2,1.38,0,1.62,2.12,1.75,1.12,1.12,1.62,2.12,2.5,1.62,3,2.5,0.75,1.88,0,2.25,2.75,2,0.12,2.38,2.25,2.75,1.38,1.25,0.38,2.88,1.88,2.5,"Level"
"500","Loading Machine Operators, Underground Mining",1.75,2.75,2.5,2.88,2.75,3.12,2,0.25,2.5,2,1.25,0.62,0.5,1.5,0.62,2.5,1.88,3.38,3.25,1,1.88,0,2.5,2.5,3.12,0.38,1.88,2.25,2.5,0.25,0.25,0,2,3,1.75,"Level"
"501","Loan Counselors",3.5,3.88,3.25,3.38,4,0,0.12,0,3.75,3.88,3.75,1.75,1.25,3.12,3.38,3.5,3.12,1.62,2.12,2.5,3.5,1.25,1.12,4,0,1.5,3.88,3.75,3.88,3,3,0.62,3.75,0.12,3.75,"Level"
"502","Loan Interviewers and Clerks",3.62,3.88,3.12,2.88,3.75,0,0.5,0,3.12,3.75,3,0.75,0,2.5,3.25,3,3,0.38,1.62,2,3,1.12,0.5,4.12,0,0.38,3.25,3.38,3.88,2.62,2.75,0.75,3.12,0,3.75,"Level"
"503","Loan Officers",3.12,4,3.25,3,4,0,0,0,3,3.88,2.62,1.25,0.88,2.75,3.38,3.12,3.12,0.25,0.5,1.75,3.12,0.75,0.62,4,0,0.12,3.75,3,4,2.12,2.25,0.75,2.88,0,3.5,"Level"
"504","Locker Room, Coatroom, and Dressing Room Attendants",2,2.88,2,2.38,2.75,0,0.25,0,1.62,2.25,0.38,0,0.5,1.38,0.38,2.38,2,0.5,0.62,0.25,2.25,0,0.25,2.38,0,0,2.62,2.62,2.75,0,0.38,0,2.12,0,2.12,"Level"
"505","Locksmiths and Safe Repairers",2.5,2.75,2.62,2.62,3.12,3,2.38,2.12,2.25,2.88,2.38,0.88,1.25,1.88,2.38,2.5,1.75,2.75,2.25,0.38,2,0.62,3.12,2.5,3.25,0.12,2.38,2.12,2.5,2.12,1.75,1.38,2.75,2.88,2.38,"Level"
"506","Locomotive Engineers",3,3.25,3,3,3.12,1.38,0.75,0,2.62,3,3,0.88,0.88,2.5,2.62,3.75,1.75,4.12,4,1.12,1.75,0,3,3.5,1.38,0.38,1.88,2.62,3,2.25,2.12,0.25,2.75,2.62,2.88,"Level"
"507","Locomotive Firers",2.5,2.88,2.62,2.75,2.75,2.75,1.75,0,2.25,2.62,2.5,0.38,0.75,1.62,1.62,3.12,2.12,3.88,3.62,0.5,2.12,0,3,2.88,2.75,0.5,2.38,2.62,2.62,1.62,1.62,0,2.75,3.12,2.75,"Level"
"508","Lodging Managers",3.75,4,3.38,3.88,4,1.88,1.88,0,3.62,3.62,3.62,4.12,3.88,3.88,3.12,4.25,3.75,2,2.12,1.12,3.75,0.62,2.5,4,1.75,0,4,3.88,4,3.25,3.75,0.75,3.88,1.88,4,"Level"
"509","Log Graders and Scalers",2.75,2.88,2.88,3,3.38,0,0.25,0,2.5,3.12,2.38,0.88,1.5,2.38,2.88,2.88,2.62,2.25,2.62,1.12,2.62,0.25,2,2.75,0,1.12,2.62,3,2.88,2.38,2.12,0.25,2.62,1,3,"Level"
"510","Logging Equipment Operators",2.12,2.12,2.25,2.62,2.88,3.25,1.88,0.12,2.25,2.5,2.25,1,1.12,2.12,2,3,1.75,3.88,3.5,0.75,2,0,3,2.12,2.75,1,1.88,2,2.25,2.12,2,0.25,2.5,2.75,2.38,"Level"
"511","Logisticians",3.38,3.88,3.88,4.38,4.25,0,0,0,3.38,3.62,3.25,2,2.12,3.88,3.25,4.5,3.62,0.62,2,4,3.88,2,2.25,4,0,1.38,3.88,3.62,3.88,3.62,3.62,0.88,3.75,0.12,3.88,"Level"
"512","Logistics Analysts",4,3.5,3.75,3.12,4,0,0.62,0,2.88,3.88,3.25,2.5,2.38,2.62,4.25,4,2.62,0.38,2.12,2.5,3.25,1.88,2.75,4.38,0,0.88,2.62,2.88,3.38,3.88,3.75,2,3.12,1.38,3.75,"Level"
"513","Logistics Engineers",4,4.12,3.88,3.62,4.12,2.12,2.88,0,3.25,3.88,3.62,2.75,3,3.5,4,3.62,3,1.25,3.12,3.5,3,2.38,2.88,4.38,2.12,2.62,3.25,3.5,4,4.12,4.12,2.38,3.88,2.75,4.12,"Level"
"514","Logistics Managers",4,3.88,3.88,3.88,4.38,0,0.5,0,3.12,3.75,3.5,3.25,3.38,4.12,3.25,4.38,3.75,1.5,2.88,2.75,3.62,1.38,1.38,4,0,0.38,3.25,3.75,3.88,3.12,3.62,1.12,4.12,0.5,3.62,"Level"
"515","Loss Prevention Managers",3.62,3.75,3.62,3.75,4,0.38,0.38,0.25,3.75,3.88,3.38,2.25,2.5,4,2.75,3.88,3.38,1.88,2.75,1.75,3.75,1.38,2.5,3.88,0,0,3.62,3.75,3.88,4,4.12,1.25,3.88,1.38,3.88,"Level"
"516","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.75,4,3.25,3.12,4,0,0.25,0,3.5,3.38,3.62,0.5,1.12,2.88,2.12,4,3,2,2.38,0.12,3,0.38,0.75,3.88,0,1.38,3.38,4,3.75,3,3,2,3.12,0,3.88,"Level"
"517","Machine Feeders and Offbearers",2.12,2.62,2.12,2.25,2.75,1,0.25,0,2.12,2.38,2.12,0.5,1.12,1.88,1.38,3,1.75,2.62,3.5,0.25,1.75,0.38,2.5,2.62,0.62,0.5,1.88,2.25,2.5,1.12,1.38,0.5,2.75,2.25,2,"Level"
"518","Machinists",2.88,2.88,3,3,3.12,2.75,2.62,2.25,2.88,2.75,2.62,0.38,1,2.25,2.62,3.25,2.12,3.25,3.38,2,2.5,1.12,3,3,2.62,0.88,2.38,2.75,3,2.25,2.25,2.25,2.75,2.75,2.75,"Level"
"519","Magnetic Resonance Imaging Technologists",3.12,3.88,3.25,2.88,3.5,2.62,2.62,0.25,2.88,3,2.88,0,0.88,2.38,2.62,3.62,2.62,2.88,3.38,0.5,2.88,1.38,2.75,3.88,2.25,2.25,3.12,3,3.88,2.88,3.12,1.12,2.88,2.62,3.38,"Level"
"520","Maids and Housekeeping Cleaners",1.25,2.25,2,2.5,2.12,0,0.62,0,2,1.75,1.38,0.62,0.88,1.88,1.12,2.25,1.62,1.12,0.88,0.12,1.88,0,1.62,2.25,0,0,2.88,2.12,2.12,1.38,1,0.38,2.25,1,1.62,"Level"
"521","Mail Clerks and Mail Machine Operators, Except Postal Service",2.12,2.75,2,2.62,2.62,0.62,0.25,0.12,1.88,2.5,2.12,0.62,0.88,1.75,1.75,2.75,1.38,2.75,2.5,0.12,2,0.5,2,2.88,0.5,0,1.88,2.62,2.62,1.5,1.25,0,2.62,1,2.75,"Level"
"522","Maintenance and Repair Workers, General",3.12,2.88,3,3,3.12,4,3.12,3.12,2.25,3,2.25,1.25,1.25,2.25,2.38,3,1.62,3.12,3.12,2,1.62,0.12,3.12,3.12,4,0.88,2.12,2.62,2.88,2.25,2.38,1.62,2.88,3.5,2.88,"Level"
"523","Maintenance Workers, Machinery",2.12,3,2.88,3,3,3.88,2.75,2.25,2.12,2.38,1.88,0.75,1,1.88,1.62,2.75,2.12,3.25,3.62,1.75,2.12,0.75,3.12,2.88,3.75,0.75,2.12,2.12,2.75,2.12,2,1.12,2.38,3.25,2.25,"Level"
"524","Makeup Artists, Theatrical and Performance",3.38,3.25,2.88,3.25,3.25,0,1.38,0,2.75,3,2.5,3.38,2.62,2.5,2.5,2.88,2.5,0.25,1.62,2.5,2.62,0,2.25,3.25,0,0.75,2.88,2.75,3,2.5,2.5,1.12,2.75,1.25,2.5,"Level"
"525","Management Analysts",3.62,3.88,3.62,3.38,3.88,0,0.25,0,3.5,3.88,3.25,1,2.12,3.25,3,3.88,3,0,0.5,4.12,3.38,0.25,0.75,4,0,2.38,3,3.62,3.75,3.75,3.75,0.62,3.38,0.62,3.88,"Level"
"526","Manicurists and Pedicurists",2.25,2.75,2,2.25,2.5,0,0.62,0,2,2.12,1.88,0.38,0.5,1.88,1.25,2.12,2.12,0.12,0.88,0.5,2.12,0,1.38,2.12,0,0,2.62,2.62,2.62,1.75,1.75,0.88,2.12,0.38,1.88,"Level"
"527","Manufactured Building and Mobile Home Installers",3,2.88,3.25,3.62,3.25,2.62,2.62,2.38,3.12,3,3.12,2.12,2.38,3.12,2.88,3.38,2.75,3.25,3.12,2,3,0,3.62,3.12,3.38,0.88,2.75,2.75,2.88,2.62,2.88,1.5,3.12,3.25,2.88,"Level"
"528","Manufacturing Engineering Technologists",4.38,3.88,4.25,3.62,4.25,3.62,4.25,3.38,3.62,4.5,3.5,3.5,3.38,3.38,4.62,4.5,3,3.88,4.25,3.25,3.62,3.25,4.25,4.62,3.12,2.75,2.88,3,3.88,4,3.88,3.88,3.38,3.75,3.88,"Level"
"529","Manufacturing Engineers",5,4.25,4.12,4,3.88,3.5,4.38,3.5,4,4.5,3.88,3.75,3.75,4,4.75,4.5,3.12,3.75,4.25,3.5,3.88,3.12,4.25,4.88,3.12,3.25,2.88,3.88,4.12,4.62,4.62,4.38,3.88,4.12,4.38,"Level"
"530","Manufacturing Production Technicians",3,3.38,3.25,3,3.38,3.5,2.38,2.25,3,2.88,3,1,1.62,2.38,2.62,3.5,2.25,3.25,3.62,2.5,2.62,0.5,3.5,3.38,3.38,2.62,2.62,2.88,3.12,2.75,2.75,1.5,3,3.5,3.12,"Level"
"531","Mapping Technicians",3,3,3,3,3.12,0,0.12,0,3,3,3,1.25,1.25,2.75,3.88,3,1.88,2.12,2.25,2.38,2.38,2.75,2.75,3.88,0,1.75,2.25,2.88,3.12,2.25,2.25,1.12,3,1.5,3.75,"Level"
"532","Marine Architects",4.5,4.12,4.25,3.5,4.38,0,0.12,0,3.12,4.38,2.75,1.75,1.88,2.88,5,3.88,3,0.25,3,4.5,3.38,1.62,3.75,5,0.12,4.12,3,3.12,4,3.62,3.62,2.88,3.25,2.75,3.88,"Level"
"533","Marine Engineers",4.62,3.75,4,3.88,4.38,0.62,1,1.12,3.5,4.25,3.38,3.38,2.88,3.88,4.88,3.62,3.25,3.12,3.62,4.62,3.62,2.25,3.88,4.5,1.25,4.5,3.12,3,3.88,3.62,3.88,3.25,4,3.62,4,"Level"
"534","Market Research Analysts and Marketing Specialists",3.88,4,3.62,3.38,3.88,0,0,0,3.12,4,3.25,2.25,1.88,3.12,3.38,3.62,2.75,0.5,1.62,3.25,3.38,2.38,1.25,4.62,0,2.5,2.62,3.38,3.88,3.88,3.75,1.12,3.5,0,4.12,"Level"
"535","Marketing Managers",4.12,4.12,3.88,3.75,4.25,0,0,0,3.5,4,3.5,3.75,2.75,3.88,3.12,4.25,3.88,0,1.25,3.62,4.38,1.25,1.38,4.25,0,1.5,3.25,4,4.12,3.75,3.75,0.88,3.75,0,3.88,"Level"
"536","Marking Clerks",2.12,2.38,2.25,2.25,2,0,0.25,0,1.62,2.25,1.5,0.25,0.62,2,0.88,2.38,2.12,1.38,1.5,1,1.88,0.25,0.25,2.5,0,0,2.12,2.25,2.5,0.88,0.5,0,2.12,0,2.25,"Level"
"537","Marriage and Family Therapists",4,5,4.12,3.62,4,0,0,0,3.88,4,3.75,0.62,0.5,3,2.12,4,3.88,0,1,3.5,4,0.38,0.75,4.12,0,3.25,4.12,5.88,4.25,3.62,3.75,0.5,3.12,0,4,"Level"
"538","Massage Therapists",3.12,3.25,2.75,2.38,3.25,0,0,0,2.12,2.88,2.75,0.38,0.38,1,0.88,2.88,1.75,0,0.38,1.62,1.88,0,0.88,3,0,1.12,3,3.25,3.5,2.12,2.38,0.75,2.62,0.38,3.12,"Level"
"539","Materials Engineers",4.5,3.88,4,3.25,4.38,0,1.75,0,3.75,4,3.5,2.88,2.62,3.25,4.12,4,3,2,3,4.25,3.38,1.88,3.62,4.5,0,4.62,2.62,3.25,4.12,3.5,3.38,2.75,3.38,2,4.38,"Level"
"540","Materials Scientists",3.88,4,4.12,3,4,1,1,0,3.38,3.88,3.12,2.12,1.88,2.75,3.62,4,2.88,1.88,2.62,4,3.12,1.25,2.62,4.75,1.12,5,2.88,3,3.88,3.38,3.25,1.38,3.12,1.88,4.38,"Level"
"541","Mates- Ship, Boat, and Barge",3.12,3.12,3.12,3.12,3.25,2.88,2,0,3,3.25,2.38,1.38,1.62,3.12,2.25,3.25,2.38,3.5,3.38,1.75,2.62,0.62,2.75,3.25,2.75,1.5,2.5,3,3.12,2.5,2.5,0.88,3.38,3,3.12,"Level"
"542","Mathematical Science Teachers, Postsecondary",4,4,3.75,2.88,4.38,0,0,0,4.38,3.38,4.12,0.62,1.12,2.62,4.62,3.75,2.75,0,0.12,2.38,2.88,0.5,0.62,4.75,0,2.12,2.62,3.25,4.25,2.88,3,0.25,3.25,0,4.75,"Level"
"543","Mathematical Technicians",4.83,4.66,4.23,2.33,5,0.16,4,0.33,1,4.33,3.83,1,1,0.16,5.66,4,0.83,1.5,1.33,3.66,1.66,3.33,2.67,4.66,0,4,0.16,0.33,4.16,2.55,3.25,2,2.16,1.66,4,"Level"
"544","Mathematicians",5.25,4.25,4.62,2.75,5,0,0,0,3.5,4.25,3.5,0.62,0.62,2,6.12,3,2.25,0,0.62,2.75,2.88,2.88,0.75,5,0,4.62,2.12,2.62,4.12,4,3.38,0.62,2.62,0,4.5,"Level"
"545","Meat, Poultry, and Fish Cutters and Trimmers",1.75,2.38,2.12,2.38,2.62,0,0.75,0,2.25,2,1.88,1,1.12,2,1.75,2.5,2.12,2,2.12,0.62,1.88,0,2,2.12,0,0,2.25,2.25,2.5,0,0.12,0,2.38,1.88,2,"Level"
"546","Mechanical Door Repairers",2.25,3,2.88,2.88,3,2.88,2.5,2.75,2.62,2.62,2.12,1,1.5,2.25,2.5,3,2.25,2.75,2.88,1.12,2.75,0,3.25,2.88,2.75,0,2.88,2.88,3,2,2.12,1.5,2.88,3,2.88,"Level"
"547","Mechanical Drafters",3.62,3.38,3.25,3.25,3.38,0.12,0.75,0,3.12,3.12,2.88,1.25,1.38,2.5,4,3.25,2,0.88,2.12,3.12,2.25,2.38,3,3.62,0,1.62,2.25,2.75,3.5,2.88,3,2.5,3,1.75,3.12,"Level"
"548","Mechanical Engineering Technicians",3,3.25,3.12,3.25,3.5,2.88,2.25,0.25,3.12,3,3,0.88,1,2.75,3,3.25,2.88,3.12,3.25,2.88,2.75,0.62,3.38,3.88,2.75,2.88,2.75,3.12,3.25,2.88,3.12,1.62,3.12,3,3.38,"Level"
"549","Mechanical Engineering Technologists",3.25,3.75,3.12,3.12,3.5,3.25,3,1.5,2.88,3.12,2.75,2.25,2.12,2.38,3.62,3.12,2.62,3.38,3.75,2.75,2.75,1.75,3.38,3.75,3.12,2.62,2.88,3,3.12,3.12,3.25,2.38,3,3.5,3.5,"Level"
"550","Mechanical Engineers",4.38,4,4.75,3.5,4.25,1.62,2.62,2.62,3.62,4.12,3.5,2.75,2.88,3.12,4.88,4.25,3,2.38,3.75,4.62,3.5,2.38,4,4.88,1.75,4.62,2.88,2.88,3.88,3.88,3.88,3.75,3.62,3.62,4,"Level"
"551","Mechatronics Engineers",3.88,3.75,4.12,3.25,4.12,0,2,1,3,4,3.38,2.12,2.25,3.25,3.88,3.75,2.88,3,3.5,3.38,3,2,3.5,4,0,2.88,2.88,3.12,3.75,3.88,3.75,3.88,3.75,2.38,3.75,"Level"
"552","Medical and Clinical Laboratory Technicians",3.12,3.12,3,3,3.38,2.62,2.25,0.38,3,3,3.12,1,1.25,3,2.5,3.12,2.12,2.75,3,1.88,2.25,1,3,3.38,2,3.38,3,2.88,3.12,2.5,2.25,1.38,3,2.75,3,"Level"
"553","Medical and Clinical Laboratory Technologists",3.88,4,3.38,3,4,3,3.12,0.38,3.5,3.5,3,1.62,1.75,3,3,3.88,2.38,3.12,3.88,2,2.75,1.88,3.75,4.12,2.25,4.25,3,3.25,3.75,3,2.88,0.62,3.12,2.88,3.62,"Level"
"554","Medical and Health Services Managers",3.75,4,3.38,4.25,4,0,0,0,3.5,4,3.5,3.88,3.5,4,2.88,4.12,3.5,0,2.25,4.12,3.5,0.62,2.12,4.12,0,3.5,3.5,4,4.12,3.38,3.75,0.62,4.12,1,3.88,"Level"
"555","Medical Appliance Technicians",3,3.62,3,3,3.5,3,2.62,0.88,3.12,3.12,2.88,1.38,2.12,2.12,2.88,3.12,2.12,2.75,3,2.25,2.38,0.38,3.75,3.62,3,1.62,3,3,3.12,3,2.5,2.38,3.12,3.12,3,"Level"
"556","Medical Assistants",3.38,3.88,3,3.38,3.75,0.12,0.25,0,3,2.88,3,1.12,1,2.38,2.5,3.62,2.38,1.25,2.5,0.62,2.88,0.5,2.12,3.88,0,1.88,3.25,3.62,4,2.62,2.75,0.38,2.88,1.5,3.25,"Level"
"557","Medical Equipment Preparers",3,3,2.5,2.88,2.88,2.62,2,2.12,2.25,2.75,2.62,0.88,2,1.62,2.25,3,1.38,2.62,3,0.38,1.62,0.75,3.12,2.88,2.38,1,2.5,2.62,2.75,2.12,2,0.5,2.75,2.62,2.75,"Level"
"558","Medical Equipment Repairers",3.25,2.88,3.12,2.88,3.62,4,3.12,2,3.12,3.12,2.88,1.5,2.12,2.75,3.12,3.25,2.5,3,3.62,2.12,2.75,0.62,3.62,3.75,4,2.25,2.88,2.75,2.88,3,3.12,2,2.75,4,2.88,"Level"
"559","Medical Records and Health Information Technicians",2.5,3.12,2.62,2.12,2.88,0,0,0,2.38,2.62,2.62,0,0.12,2.25,1.88,2.75,1.88,0.38,1,1.25,1.75,0.38,0.75,3.38,0,0.25,2.5,2.5,3.12,1.88,1.75,0.75,2.75,0.12,3,"Level"
"560","Medical Scientists, Except Epidemiologists",4.5,4.12,4.5,3.25,4.62,0,0.62,0,4.12,4.12,3.75,2,2.25,3.5,4,4,2.88,0.75,2.62,3.88,3.38,1.62,2.88,5.38,0,4.88,3.38,3.38,4,4,4,1.12,3.88,1.12,4.62,"Level"
"561","Medical Secretaries",2.38,3.75,2.62,2.88,3,0,0,0,2.12,2.38,2,0.38,0.62,2.12,2,2.62,2.12,0,1.12,0.5,2.12,0.25,0.25,3.12,0,0.25,3,3,3.38,2.12,1.88,0,2.88,0,3.12,"Level"
"562","Medical Transcriptionists",2.5,3.62,2.5,2.38,2.88,0,0,0,1.38,2.5,2,0,0,1.25,1,2.75,1.25,0.5,1,0.5,1.38,0.62,0.88,4,0,0.5,1.62,2.75,3,1.75,1.12,0,2.75,0,3.38,"Level"
"563","Meeting, Convention, and Event Planners",3.12,3.88,3.38,3.75,3.62,0,0,0,2.88,3.38,2.62,2.75,2.75,3.12,2.5,3.5,3.62,1.5,1.75,3.5,3.38,0.5,0.25,4.12,0.12,0.38,3.62,3.5,3.75,3,3.5,1,3.75,0.12,3.38,"Level"
"564","Mental Health and Substance Abuse Social Workers",4,4.25,3.75,4,4.12,0,0,0,3.75,3.88,4,0.62,0.62,3,2,4.25,3.88,0,1.62,2.88,4,0.75,1.12,4.12,0,3.25,4.12,5.12,4.25,3.12,3.25,0.5,3.88,0,4,"Level"
"565","Mental Health Counselors",4.12,5,3.88,3.75,4.5,0,0,0,3.25,4.12,3.88,0.75,0.88,3.12,2.38,4.25,3.62,0,0.75,3.38,4.38,0.5,1.12,4.62,0,3.75,4,5.5,4.38,3.75,4,0.62,3.25,0,4.12,"Level"
"566","Merchandise Displayers and Window Trimmers",3,3.12,2.88,3.12,3.38,0,0.5,0.12,2.38,3,2,0.75,1.5,2.38,1.38,2.88,2.25,1,1,2,3,0.5,1.75,3.12,0,0.25,2.88,2.88,3.25,2.38,2.38,0.75,2.88,0.75,2.88,"Level"
"567","Metal-Refining Furnace Operators and Tenders",1.88,2.62,2.62,2.12,2.75,2.62,2.25,0.12,2.25,2.62,2,0.88,1.5,2.62,2.75,3.25,1.5,3.62,3.75,1.25,1.75,0,3.25,2.75,2.25,1.75,1.62,2.25,2.5,2,2,0.25,2.75,2.38,2.5,"Level"
"568","Meter Readers, Utilities",2.38,2.75,2.62,2.38,2.88,1.88,2.12,0.25,2.62,2.62,2.5,1.38,1.12,2.12,2.12,2.5,2.38,2.62,2.38,0.75,2.38,1,2.5,2.88,2.12,0.12,2.75,2.38,2.5,2.12,2.12,0.88,2.62,2.12,2.62,"Level"
"569","Microbiologists",4.88,4.12,4,3.62,4.38,0,1.25,0,3.75,4.25,4.12,2,2.5,3.75,4,4.12,2.5,2.62,2.75,3.25,2.75,2.25,3.25,5,0,4.62,2.75,3.38,4,3.75,3.62,1.25,3.75,1.75,4.5,"Level"
"570","Middle School Teachers, Except Special and Career/Technical Education",3.62,4,3,3.5,3.5,0,0,0,4,3.38,3.88,0.25,1,2.75,2.75,3.62,3.38,0.25,1.38,0.5,3.25,0.5,1.62,4.12,0,0.62,3.25,3.62,3.88,2.75,3,0.88,3.5,1,3.88,"Level"
"571","Midwives",3.38,4.25,3.25,3.5,4.12,0,0.88,0,3.25,4,3,1.38,1.88,2.38,2.5,4.5,2.62,1.75,1.75,1,3.25,0.75,1.88,4.25,0,2.75,3.62,4.62,4.12,2.38,2.75,0.75,2.88,1.25,3.5,"Level"
"572","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2.62,3.25,2.88,2.25,3,2,1.88,1.12,2.25,2.38,1.75,0.88,0.62,1.88,2.5,3.12,1.5,2.62,3.5,2.25,1.88,0.5,3,2.88,2,0.88,2,2.25,2.5,2,2,1,2.5,2.5,2.25,"Level"
"573","Millwrights",3.12,2.88,3.25,3.62,3.38,3.62,2.38,3.88,3.12,3.12,2.75,0.62,1.38,2.88,2.88,3.25,2.75,3.25,3.5,0.88,2.75,0.5,3.38,3.38,3.62,0.62,2.75,2.62,2.62,2.62,2.88,1.5,3.25,3.62,2.62,"Level"
